liable to objection or debate; used of something one might take exception to; "a thoroughly unpleasant highly exceptionable piece of writing"; "found the politician's views objectionable"	Law and crime
sign jointly; "Husband and wife co-signed the lease"	Philosophy and psychology
a quantity or amount or measure considered as a proportion of another quantity or amount or measure; "the literacy rate"; "the retention rate"; "the dropout rate"	Mathematics
the local environment; "he hasn't been seen around these parts in years"	Computing
a librarian who classifies publication according to a categorial system	Education
a camera with a photoflash attachment	Engineering and technology
become a nun; "The young woman took the veil after her fiance died"	Religion, mysticism and mythology
go outside a room or building for a short period of time	Art, architecture, and archaeology
in an unenthusiastically lukewarm manner; "he was lukewarmly received by his relatives"	Philosophy and psychology
an organism that lives in an oxygenated medium lacking organic matter	Biology
a miscalculation that recoils on its maker	Mathematics
a room set aside for sewing	Art, architecture, and archaeology
a thin stew of meat and vegetables	Food and drink
expressed by a word	Language and linguistics
undergo solvation or convert into a solvate	Chemistry and mineralogy
a hat with a snap brim	Textile and clothing
inflammation of the ovaries	Health and medicine
very unpleasant	Philosophy and psychology
with aesthetic gratification or delight; "sensuously delighting in the wine and food"	Philosophy and psychology
containing no liquid or actuated without the use of liquid; "aneroid barometer"	Chemistry and mineralogy
a cosy or secluded retreat	Mathematics
a white crystalline powder used chiefly in medicines	Chemistry and mineralogy
one of the variations contained in a partita	Music
psychological rather than physical or tangible in effect; "a moral victory"; "moral support"	Philosophy and psychology
restricting according to rules or principles; "a regulatory gene"	Philosophy and psychology
muntjacs	Animals
communicate over long distances, as via the telephone or e-mail	Computing
a town of southeast Michigan on Lake Erie	Geography and places
iron of high purity	Chemistry and mineralogy
protected from heat and light with shade or shadow; "shaded avenues"; "o'er the shaded billows rushed the night"- Alexander Pope	Physics and astronomy
call in an official matter, such as to attend court	Law and crime
lacking in boldness	Philosophy and psychology
spruce grouse	Animals
belief about (or mental picture of) the future	Philosophy and psychology
score (a goal) by making a place kick	Sport and recreation
the style in which newspapers are written	Art, architecture, and archaeology
having a nucleus or occurring in the nucleus; "nucleated cells"	Biology
monetary unit in Lebanon	Numismatics and currencies
monetary unit in Bulgaria	Numismatics and currencies
the worship of human beings	Religion, mysticism and mythology
characterized by or following a curved line; "curvilinear tracery"; "curvilinear motion"	Mathematics
lacking necessary force for effectiveness; "a toothless piece of legislation"	Philosophy and psychology
one of two veins draining the larynx	Health and medicine
assessed price; "the valuation of this property is much too high"	Business, economics, and finance
convert (an amine) into a diazo compound	Chemistry and mineralogy
the striking of a light beam on a surface; "he measured the angle of incidence of the reflected light"	Physics and astronomy
haul by railroad car	Transport and travel
baked until hard	Food and drink
an athletic competition that involves swimming	Sport and recreation
cover with strips of canvas; "parcel rope"	Textile and clothing
a convex shape that narrows toward a point	Mathematics
undergo military training or do military exercises	Warfare and defense
alders	Biology
a brassiere that lifts and supports the breasts	Textile and clothing
act (a role) with great restraint	Media
cause to be seen by emitting light as if in rays; "The sun is radiating"	Physics and astronomy
still in doubt; "an unsettled issue"; "an unsettled state of mind"	Philosophy and psychology
a contrived or fantastic idea; "a figment of the imagination"	Philosophy and psychology
fungi having sporangia usually borne successively and singly at the tips of branching sporangiophores	Biology
any spatial attributes (especially as defined by outline); "he could barely make out their shapes"	Mathematics
a fashionable neighborhood in San Francisco	Geography and places
monetary unit in Indonesia	Numismatics and currencies
a room used for the activities of a club	Art, architecture, and archaeology
ice cream containing chopped candied fruits	Food and drink
have a certain musical rhythm; "The music has to swing"	Music
a loose, looped, sewing stitch used to transfer marking for darts, etc., from a pattern to material	Textile and clothing
literary term for an ocean; "denizens of the deep"	Physics and astronomy
apply henna to one's hair; "She hennas her hair every month"	Textile and clothing
change texture so as to become matted and felt-like; "The fabric felted up after several washes"	Textile and clothing
soreness and warmth caused by friction; "he had a nasty chafe on his knee"	Health and medicine
imaginative re-creation	Philosophy and psychology
familiarize anew; "We reacquainted ourselves with this technique"	Philosophy and psychology
be ignorant of or in the dark about	Philosophy and psychology
a locution or pronunciation peculiar to the southern United States	Language and linguistics
visit informally and spontaneously; "We frequently drop by the neighbors' house for a cup of coffee"	Philosophy and psychology
develop a habit; apply oneself to a practice or occupation; "She took to drink"; "Men take to the military trades"	Philosophy and psychology
a serving of drink (usually alcoholic) drawn from a keg; "they served beer on draft"	Food and drink
extinct primates; lower Pliocene	Animals
of or relating to or functioning as an adjective; "adjectival syntax"; "an adjective clause"	Language and linguistics
suffering from dyspepsia	Health and medicine
in an unnatural way; "his other arm lay across his chest, unnaturally, as if placed there deliberately, for a purpose"	Philosophy and psychology
a reptile genus of Iguanidae	Animals
involving reasoning from facts or particulars to general principles or from effects to causes; "a posteriori demonstration"	Philosophy and psychology
disposition to do good	Religion, mysticism and mythology
a branch of the Tai languages	Language and linguistics
a variety of goldenrod	Biology
of a mental act performed entirely within the mind; "a cognition is an immanent act of mind"	Philosophy and psychology
overcome by a feeling of awe	Philosophy and psychology
used of seeds or spores that are enclosed in a capsule	Biology
give a guarantee or promise of; "They stipulated to release all the prisoners"	Law and crime
lacking social graces	Philosophy and psychology
moss-like liverwort with tiny scalelike leaves; usually epiphytic	Biology
a heavy motionless weight	Physics and astronomy
of or relating to the cells in a sporangium that give rise to spores	Biology
change into an isomer	Chemistry and mineralogy
a long steep-sided depression in the ocean floor	Geology and geophysics
in an outlandish manner; "the Bavarian was outlandishly dressed in lederhosen"	Philosophy and psychology
ill-mannered and coarse and contemptible in behavior or appearance; "was boorish and insensitive"; "the loutish manners of a bully"; "her stupid oafish husband"; "aristocratic contempt for the swinish multitude"	Philosophy and psychology
of or relating to or conforming to the rules of syntax; "the syntactic rules of a language"	Language and linguistics
(of birds) not yet having developed feathers; "a small unfledged sparrow on the window sill"	Animals
a slice of bacon	Food and drink
showing curiosity; "if someone saw a man climbing a light post they might get inquisitive"; "raised a speculative eyebrow"	Philosophy and psychology
a common European butcherbird	Animals
monetary unit in Chile	Numismatics and currencies
formally assign ownership of; "She signed away her rights"	Law and crime
sharply disagreeable; rigorous; "the harsh facts of court delays"; "an abrasive character"	Philosophy and psychology
need badly or desperately; "This question cries out for an answer"	Philosophy and psychology
anesthetize with cocaine	Health and medicine
of or relating to a presentation (especially in psychology or philosophy); "what Whitehead calls `perception in the presentational immediacy'"	Philosophy and psychology
monetary unit in Yemen	Numismatics and currencies
a branch of the maxillary artery that supplies the alveolar process	Health and medicine
indistinct articulation; "judging from the thickness of his speech he had been drinking heavily"	Language and linguistics
the latter part of night	Physics and astronomy
any of numerous cultivated plants of the genus Delphinium	Biology
cook over a grill; "grill the sausages"	Food and drink
the quality of being pink	Heraldry, honors, and vexillology
without respect; in a disdainful manner; "she spoke of him contemptuously"	Philosophy and psychology
as if possessed by demons	Philosophy and psychology
play as a fielder	Sport and recreation
obsolete terms for legal insanity	Philosophy and psychology
put in opposition to show or emphasize differences; "The middle school teacher contrasted her best student's work with that of her weakest student"	Mathematics
something contrived to meet an urgent need or emergency	Religion, mysticism and mythology
stretch out or arrange like a string	Mathematics
a genus of Mustelidae	Animals
suffering severe physical strain or distress; "he dropped out of the race, clearly distressed and having difficulty breathing"	Health and medicine
a family of fungi belonging to the order Agaricales	Biology
the game of baseball	Sport and recreation
a drawstring used to close the mouth of a purse	Textile and clothing
give a reduction in price on; "I never discount these books-they sell like hot cakes"	Business, economics, and finance
the ordinal number of thirty-two in counting order	Mathematics
in a comparable manner or to a comparable degree; "you will have to work comparably harder"	Philosophy and psychology
a variety of aster	Biology
yams	Biology
a two-digit integer; from 10 to 99	Mathematics
with regard to emotions; "emotionally secure"	Philosophy and psychology
having more than the average number of accidents	Philosophy and psychology
flap the wings wildly or frantically; used of falcons	Animals
(of solids) having clear dimensions that can be measured; volume can be determined with a suitable geometric formula	Mathematics
a temporary military unit; "the peacekeeping force includes one British contingent"	Warfare and defense
weave diagonal lines into (textiles)	Textile and clothing
in a cheerfully buoyant manner; "we accepted the opportunity buoyantly"	Philosophy and psychology
goosefoot; pigweed	Biology
dehydrated skimmed milk	Farming
a substance that transudes	Textile and clothing
a town in northern Minnesota	Geography and places
characterized by one unified purpose	Philosophy and psychology
United States writer (1905-1970)	Literature and theatre
fish loaf made with flaked salmon	Food and drink
a side-by-side position	Heraldry, honors, and vexillology
a naval battle in the Russo-Japanese War (1905); the Japanese fleet defeated the Russian fleet in the Korean Strait	Warfare and defense
moving in a twisting or snake-like or wormlike fashion; "wiggly worms"	Physics and astronomy
a structure of boards	Mathematics
coextensive with the family Polygonaceae,	Biology
air defense by the use aircraft or missiles or artillery or electronic countermeasures	Warfare and defense
characterized by neglect and undue lack of concern; "negligent parents"; "negligent of detail"; "negligent in his correspondence"	Philosophy and psychology
100 kopecks equal 1 ruble in Russia	Numismatics and currencies
of a firearm; not having rifling or internal spiral grooves inside the barrel	Warfare and defense
covered with forest; "efforts to protect forested lands of the northwest"	Geography and places
containing chemically bound phosphoric acid	Chemistry and mineralogy
a set of seven similar things considered as a unit	Mathematics
a mild form of bubonic plague	Health and medicine
an electrical device that automatically turns a lamp on and off (as for an advertising display)	Engineering and technology
in a willing manner; "this was gladly agreed to"; "I would fain do it"	Philosophy and psychology
of or relating to the theological doctrine of synergism	Religion, mysticism and mythology
a long overcoat with a hood that can be pulled over the head	Textile and clothing
any mosquito of the genus Anopheles	Animals
make symmetric; "symmetrized waves"	Mathematics
of or relating to or involving or used in surgery; "surgical instruments"; "surgical intervention"	Health and medicine
having no prospect or hope of a future	Philosophy and psychology
an efficient incentive; "they hoped it would act as a spiritual dynamic on all churches"	Business, economics, and finance
having divergent strabismus	Health and medicine
a wise and upright judge; "a Daniel come to judgment" -- Shakespeare	Law and crime
prevent employees from working during a strike	Numismatics and currencies
a nuclear reaction accompanied by the evolution of energy	Chemistry and mineralogy
monetary unit in Sierra Leone	Numismatics and currencies
coypus	Animals
a feeling of sulky resentment	Philosophy and psychology
a tariff imposed to raise revenue	Business, economics, and finance
strange in an interesting or pleasing way; "quaint dialect words"; "quaint streets of New Orleans, that most foreign of American cities"	Philosophy and psychology
an impact printer in which each character is represented by a pattern of dots made by wires or styli	Computing
a cord (or string or ribbon or wire etc.) with which something is tied; "he needed a tie for the packages"	Textile and clothing
English from about 1100 to 1450	Language and linguistics
having strong sexual appeal; "juicy barmaids"; "a red-hot mama"; "a voluptuous woman"; "a toothsome blonde in a tight dress"	Philosophy and psychology
lacking discernment	Philosophy and psychology
an overwhelming feeling of wonder or admiration; "he stared over the edge with a feeling of awe"	Philosophy and psychology
the Ugric language (related to Hungarian) spoken by the Vogul	Language and linguistics
a side road where you can turn off; "I missed the turnoff and went 15 miles out of my way"	Transport and travel
being present (at meeting or event etc.) "attendant members of the congreation"	Mathematics
capital of Pennsylvania; located in southern part of state	Geography and places
imaginative intellectual play	Philosophy and psychology
the sky as viewed during daylight; "he shot an arrow into the blue"	Physics and astronomy
an amount beyond the minimum necessary; "the margin of victory"	Mathematics
a string that is part of a longer string	Mathematics
failing to inform or clarify; "an unenlightening comment"	Philosophy and psychology
tropical evergreen trees or shrubs; chiefly African	Biology
of or relating to or characterized by spores produced by basidia	Biology
ride in a hot-air balloon; "He tried to balloon around the earth but storms forced him to land in China"	Transport and travel
overwhelm with admiration; "All the guys were knocked out by her charm"	Philosophy and psychology
any disease of the throat or fauces marked by spasmodic attacks of intense suffocative pain	Health and medicine
the conception and development of an idea or plan	Philosophy and psychology
a town in northeastern Maryland	Geography and places
relating to an impairment or loss of the sense of smell	Health and medicine
in a sour manner; "he complained sourly that the new rules only benefitted the managers"	Philosophy and psychology
an exercise designed to strengthen the abdominal muscles	Health and medicine
a cell resulting from parthenogenesis	Biology
touch or stroke lightly; "The grass tickled her calves"	Philosophy and psychology
of or relating to the stomach and the duodenum	Health and medicine
without a bed; "the cell was bedless"	Textile and clothing
a genus of Scolopacidae	Animals
logically deductive; "formal proof"	Philosophy and psychology
position 17 in a countable series of things	Warfare and defense
a fussy and eccentric disposition	Philosophy and psychology
shun the company of others; "The new student keeps to herself"	Philosophy and psychology
a piece of leather across the instep of a shoe	Textile and clothing
spiders	Animals
sing by changing register; sing by yodeling; "The Austrians were yodeling in the mountains"	Music
in an irregular manner; "the stomach mucosa was irregularly blackened"	Philosophy and psychology
of or relating to a system to destroy satellites in orbit; "antisatellite weapons"	Physics and astronomy
in an insensitive manner; "the police officer questioned the woman rather insensitively about the attack"	Philosophy and psychology
mark with a date and place; "dateline a newspaper article"	Physics and astronomy
the act of appealing for help	Religion, mysticism and mythology
between the chuck and the brisket	Food and drink
winged seed of the ash tree	Biology
a port city and commercial center in northwestern Lebanon on the Mediterranean Sea	Geography and places
the ordinal number of one hundred forty in counting order	Mathematics
a singer of madrigals	Music
of or relating to the theory of reductionism; "reductionist arguments"	Philosophy and psychology
characterized by understanding based on comprehension and discernment and empathy; "an understanding friend"	Philosophy and psychology
a very thick center cut of beef tenderloin	Food and drink
British playwright (1911-1977)	Literature and theatre
harsh; "sharp criticism"; "a sharp-worded exchange"; "a tart remark"	Philosophy and psychology
(baseball) an out that advances the base runners	Sport and recreation
throw with force or recklessness; "fling the frisbee"	Sport and recreation
a means of persuading or arguing; "he used all his conversational weapons"	Philosophy and psychology
contract; "did you catch a cold?"	Health and medicine
having hair that feels like velvet	Textile and clothing
cause (a computer) to execute a single command	Computing
the gravity of the sun; "solar gravity creates extreme pressures and temperatures"	Physics and astronomy
containing or composed of mucus and pus	Health and medicine
a quality of extreme unpleasantness	Philosophy and psychology
bugle	Biology
an accurate clock (especially used in navigation)	Engineering and technology
United States politician and diplomat (1900-1968)	Politics and government
of or belonging to the hominid genus Australopithecus	Animals
having hills and crags; "hilly terrain"	Geology and geophysics
deficient in originality or creativity; lacking powers of invention; "a sterile ideology lacking in originality"; "unimaginative development of a musical theme"; "uninspired writing"	Philosophy and psychology
be the co-star in a performance	Media
sensitive voltmeter that can measure voltage in millivolts	Engineering and technology
in an unfair and insulting manner; "this internationally known writer was foully condemned by the Muslim fundamentalists"	Philosophy and psychology
produce saliva; "We salivated when he described the great meal"	Biology
having complicated nutritional requirements; especially growing only in special artificial cultures; "fastidious microorganisms"; "certain highly specialized xerophytes are extremely exacting in their requirements"	Biology
a cloth with parallel diagonal lines or ribs	Textile and clothing
an unskilled actor who overacts	Media
conspicuously or grossly unconventional or unusual; "restaurants of bizarre design--one like a hat, another like a rabbit"; "famed for his eccentric spelling"; "a freakish combination of styles"; "his off-the-wall antics"; "the outlandish clothes of teenagers"; "outre and affected stage antics"	Philosophy and psychology
load an aircraft with bombs	Warfare and defense
a musical composition written for eight performers	Music
(color) giving no sensation of warmth; "a cold bluish grey"	Heraldry, honors, and vexillology
monetary unit in Bangladesh	Numismatics and currencies
the window in a gabled extension built to accommodate a window	Art, architecture, and archaeology
exercise designed to strengthen the arm muscles	Health and medicine
a drawing made with a stick of black carbon material	Art, architecture, and archaeology
a Siouan language spoken by the Oglala	Language and linguistics
an affirmative constructed from two negatives; "A not unwelcome outcome"	Language and linguistics
display (clothes) as a mannequin; "model the latest fashion"	Textile and clothing
adult male bird	Animals
the property possessed by a slope that is very steep	Mathematics
with confidence; in a confident manner; "we have to do what is right confidently"	Philosophy and psychology
a rifle or pistol	Warfare and defense
play the fullback	Sport and recreation
the communication of something to the public; making information generally known	Language and linguistics
on a railroad flatcar; "the trailer rode piggyback across the country"	Transport and travel
pilaf made with bulgur wheat instead of rice and usually without meat	Food and drink
easy to like; agreeable; "an attractive and likable young man"	Philosophy and psychology
an item in a newspaper	Mathematics
in a restive manner; "he sat down again, restively"	Philosophy and psychology
with hesitation; in a hesitant manner; "he finally accepted hesitantly"	Philosophy and psychology
shrubby or herbaceous low-growing evergreen perennials	Biology
ball used to knock down ninepins	Sport and recreation
precipitate as rain; "If it rains much more, we can expect some flooding"	Meteorology
palmyra	Biology
alert and fully informed; "a knowing collector of rare books"; "surprisingly knowledgeable about what was going on"	Philosophy and psychology
in an unwilling manner; "he had sinned against her unwillingly"	Philosophy and psychology
bearing or consisting of carpels	Biology
having three sides; "a trilateral figure"	Mathematics
an accusation of wrongdoing; "the book is an indictment of modern philosophy"	Law and crime
destructive to the spirit or soul; "soul-destroying labor"	Health and medicine
having a proud and unbroken spirit	Philosophy and psychology
feet of calves used as food; usually jellied	Farming
moving from west to east on the celestial sphere; or--for planets--around the sun in the same direction as the Earth	Physics and astronomy
not perfect; defective or inadequate; "had only an imperfect understanding of his responsibilities"; "imperfect mortals"; "drainage here is imperfect"	Religion, mysticism and mythology
a stroke of luck	Philosophy and psychology
in your mind; "he suffered mentally"	Philosophy and psychology
examine and note the similarities or differences of; "John compared his haircut to his friend's"; "We compared notes after we had both seen the movie"	Mathematics
stock held by stockholders of record on a given date	Business, economics, and finance
a member of the Taoist Trinity	Religion, mysticism and mythology
a symptom caused by an illness or a drug; "the effects of sleep loss"; "the effect of the anesthetic"	Health and medicine
in a sorrowful manner	Philosophy and psychology
in an animated manner; "they talked animatedly"	Philosophy and psychology
write a computer program	Computing
fruticose lichens having prostrate or erect or pendulous thalli: genera Usnea, Evernia, Ramalina, Alectoria	Biology
often used colloquially for any yellow daffodil	Biology
have a daydream; indulge in a fantasy	Philosophy and psychology
dwarf shrub	Biology
any of several cultivated sweet cherries having sweet juicy heart-shaped fruits	Biology
of or pertaining to animalism	Philosophy and psychology
showing lack of self-interest	Philosophy and psychology
wheatears	Animals
with jealousy; in an envious manner; "he looked at his friend's new car jealously"	Philosophy and psychology
the act of preventing something by anticipating and disposing of it effectively	Chemistry and mineralogy
a period of work or duty	Health and medicine
the sovereign ruler of France	Royalty and nobility
with brightness; "the stars shone brilliantly"; "the windows glowed jewel bright"	Physics and astronomy
type genus of the Tayassuidae	Animals
something many people believe that is false; "they have the illusion that I am very wealthy"	Philosophy and psychology
in a mournful manner; "the young man stared into his glass mournfully"	Philosophy and psychology
common Eurasian weed; naturalized in United States	Biology
seafood served in a scallop shell	Food and drink
board a plane	Warfare and defense
temporal artery that supplies the posterior part of the cortex of the temporal lobe	Health and medicine
house finches and purple finches	Animals
Old World tree frogs	Animals
in a disagreeable manner; "`I took no harm from the journey, thank you,' she said disagreeably"	Philosophy and psychology
the quality of being expressive	Philosophy and psychology
catch rats, especially with dogs	Animals
bear seeds	Biology
of or being or relating to or involving cognition; "cognitive psychology"; "cognitive style"	Philosophy and psychology
a thin strip of covered cord used to edge hems	Textile and clothing
of or relating to or located on the banks of a river or stream; "riparian land"	Geography and places
a genus of Capromyidae	Animals
a condition of suffering or distress due to ill health	Health and medicine
supply with projecting galleries; "machicolate the castle walls"	Art, architecture, and archaeology
hoary alyssum	Biology
a branch of the internal iliac vein	Health and medicine
boil slowly at low temperature; "simmer the sauce"; "simmering water"	Food and drink
in a gratifying manner; "the performance was at a gratifyingly high level"	Philosophy and psychology
an assembly of people for the purpose of unhurried consideration and discussion	Politics and government
subject to sharply varying moods; "a temperamental opera singer"	Philosophy and psychology
growing by accretion	Biology
relating or belonging to or serving as a monument; "the use of the arch in monumental architecture"; "monumental sculptures"	Art, architecture, and archaeology
the position of vizier	Religion, mysticism and mythology
any fungus of the genus Gyromitra	Biology
(of farmland) broken and turned over with a plow; "plowed fields"	Farming
a carpet pad of thick felt	Textile and clothing
a water ouzel of Europe	Animals
any plant of the family Cucurbitaceae	Biology
the astonishment you feel when something totally unexpected happens to you	Philosophy and psychology
use or exercise the mind or one's power of reason in order to make inferences, decisions, or arrive at a solution or judgments; "I've been thinking all day and getting nowhere"	Philosophy and psychology
in a labored manner; "he breathed heavily"	Physics and astronomy
the group -NO3	Chemistry and mineralogy
cause to experience shipwreck; "They were shipwrecked in one of the mysteries at sea"	Warfare and defense
in an ungrateful manner	Philosophy and psychology
any prickly shrub of the genus Rubus bearing edible aggregate fruits	Biology
inject (drugs) into the skin	Health and medicine
complain; "What was he hollering about?"	Philosophy and psychology
having a shape resembling an ear	Mathematics
by municipality; "municipally funded"	Geography and places
a dose of a narcotic drug	Health and medicine
in a merry sportive manner	Philosophy and psychology
of or relating to or characteristic of Malaysia; "Malaysian police crack down hard on drug smugglers"; "Malayan crocodiles"	Culture and society
the craft of making earthenware	Textile and clothing
print incorrectly	Language and linguistics
United States philosopher of pragmatism (1863-1931)	Philosophy and psychology
with regard to a nation taken as a whole; "a nationally uniform culture"	Philosophy and psychology
free from fear or doubt; easy in mind; "he was secure that nothing will be held against him"	Philosophy and psychology
burnt sugar; used to color and flavor food	Food and drink
as an adverb; "the prepositional phrase here is used adverbially"	Language and linguistics
know the nature or character of; "we all knew her as a big show-off"	Philosophy and psychology
water ouzels	Animals
in a virulent manner; "an old woman advanced a few paces to shake her fist virulently in my face"	Philosophy and psychology
edible bulbous tuber of a Chinese marsh plant	Biology
financial return or reward (especially returns equal to the initial investment)	Business, economics, and finance
relating to the ablative case	Language and linguistics
make by single stitching	Textile and clothing
of or pertaining to or characteristic of plants of the family Rosaceae	Biology
the act of visiting in an official capacity (as for an inspection)	Philosophy and psychology
lacking or showing a lack of due concern; "spoke with blithe ignorance of the true situation"	Philosophy and psychology
(used with count nouns) two considered together; the two; "both girls are pretty"	Language and linguistics
a genus of Phalangeridae	Animals
Italian painter and sculptor (1884-1920)	Art, architecture, and archaeology
sand rats	Animals
made with strawberries	Food and drink
a regent's deputy	Religion, mysticism and mythology
having a valence of five	Chemistry and mineralogy
an acid tartrate; a hydrogen tartrate	Chemistry and mineralogy
lacking enlightenment or knowledge or culture; "this benighted country"; "benighted ages of barbarism and superstition"; "the dark ages"; "a dark age in the history of education"	Philosophy and psychology
the auditory experience of sound that lacks musical quality; sound that is a disagreeable auditory experience; "modern music is just noise to me"	Music
edible crab that has not recently molted and so has a hard shell	Animals
having high relative density or specific gravity; "dense as lead"	Physics and astronomy
qualities that are comparable; "no comparison between the two books"; "beyond compare"	Mathematics
versed in literature; dealing with literature	Philosophy and psychology
a long difficult walk	Geography and places
monetary unit in Syria	Numismatics and currencies
American woodcocks	Animals
of or relating to an element consisting of a single atom; "helium and argon are monatomic gases"	Chemistry and mineralogy
unusually acute vision	Health and medicine
provide (a city) with a canal	Geography and places
acknowledge a new land owner as one's landlord; "he was attorned by the tenants"	Law and crime
an informal use of the Latin word for father; sometimes used by British schoolboys or used facetiously	Philosophy and psychology
cause (a chemical compound, vapour, solution, magnetic material) to unite with the greatest possible amount of another substance	Chemistry and mineralogy
a pedestrian who walks from place to place	Transport and travel
a genus of Icteridae	Animals
in a touchy manner; "he touchily refused all offers to help"	Philosophy and psychology
a grounder that rolls along the infield	Sport and recreation
the Mayan language spoken by the Cakchiquel	Language and linguistics
a commercial mix for making brownies	Food and drink
located or occurring outside a cell or cells; "extracellular fluid"	Biology
African antelopes: elands	Animals
by phonemics; "phonemically transcribed"	Language and linguistics
retained without reflection; "the absorbed light intensity"	Physics and astronomy
the act of treating with medicines or remedies	Health and medicine
certainty based on past experience; "he wrote the paper with considerable reliance on the work of other scientists"; "he put more trust in his own two legs than in the gun"	Philosophy and psychology
a somewhat flat reddish-orange loose skinned citrus of China	Food and drink
100 fen equal 1 yuan in China	Numismatics and currencies
any muscular weakness	Health and medicine
made by boiling pure sugar until it hardens	Food and drink
a tract of land where logs are accumulated	Geography and places
a lichen in which the fungus component is a basidiomycete	Biology
the territorial jurisdiction of a caliph	Law and crime
characterized by anger; "a choleric outburst"; "an irascible response"	Philosophy and psychology
perceive in terms of a past experience	Philosophy and psychology
cause aversion in; offend the moral sense of; "The pornographic pictures sickened us"	Philosophy and psychology
provide (a house) with a terrace; "We terrassed the country house"	Art, architecture, and archaeology
moderately good of its kind; "a goodish wine"	Philosophy and psychology
the first beat of a musical measure (as the conductor's arm moves downward)	Music
propel with oars; "row the boat across the lake"	Warfare and defense
having a softening or soothing effect especially to the skin	Health and medicine
any of the five lobes forming the liver	Health and medicine
the Na-Dene language spoken by the Tlingit	Language and linguistics
a short erect tail	Animals
United States vaudevillian (born in Russia) noted for her flamboyant performances (1884-1966)	Media
sleep in a convenient place; "You can crash here, though it's not very comfortable"	Health and medicine
in a delicate manner; "finely shaped features"; "her fine drawn body"	Philosophy and psychology
conceive of as united or associated; "Sex activity is closely identified with the hypothalamus"	Philosophy and psychology
caddis fly	Animals
erect evergreen shrubs: mountain laurel	Biology
adequately good for the circumstances; "if it's good enough for you it's good enough for me"	Philosophy and psychology
of a cell or organism having two sets of chromosomes or twice the haploid number; "diploid somatic cells"	Biology
primitive saurischian carnivorous dinosaurs	Animals
incapable of being explained or accounted for; "inexplicable errors"; "left the house at three in the morning for inexplicable reasons"	Philosophy and psychology
expressing or given to expressing the truth; "a true statement"; "gave truthful testimony"; "a truthful person"	Philosophy and psychology
type with two empty spaces between lines	Language and linguistics
a family of dicotyledonous plants	Biology
a genus of Apodidae	Animals
the act of final authorization; "it had the sanction of the church"	Philosophy and psychology
involving or containing one or more derivatives; "differential equation"	Mathematics
(British) a magazine that is printed in color and circulated with a newspaper (especially on weekends)	Literature and theatre
half the usual or regular size	Mathematics
express complaints, discontent, displeasure, or unhappiness; "My mother complains all day"; "She has a lot to kick about"	Philosophy and psychology
any object that radiates energy	Physics and astronomy
the amount by which something decreases	Mathematics
place between two surfaces and apply weight or pressure; "pressed flowers"	Physics and astronomy
100 centimes equal 1 dinar in Algeria	Numismatics and currencies
cause to deteriorate due to the action of water, air, or an acid; "The acid corroded the metal"; "The steady dripping of water rusted the metal stopper in the sink"	Chemistry and mineralogy
